City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Matay,EG,2022-09-27 18:36:36,28.419,30.7792,89.55,28,0,8.81
68,Atasu,KZ,2022-09-27 18:36:36,48.6814,71.6433,50.74,50,100,9.55
69,Waingapu,ID,2022-09-27 18:36:36,-9.6567,120.2641,77.04,80,76,0.11
70,Kavaratti,IN,2022-09-27 18:36:36,10.5669,72.642,82.04,73,95,14.85
71,Faya,SA,2022-09-27 18:36:37,18.3851,42.4509,70.32,28,1,6.26
72,Nanakuli,US,2022-09-27 18:36:37,21.3906,-158.1547,82.45,65,0,5.75
73,Mataura,NZ,2022-09-27 18:36:38,-46.1927,168.8643,49.48,98,67,2.75
74,Camaqua,BR,2022-09-27 18:34:34,-30.8511,-51.8122,70.29,60,6,10.09
75,Prado,BR,2022-09-27 18:36:38,-17.3411,-39.2208,77.27,72,0,10.07
76,Jumla,NP,2022-09-27 18:36:38,29.2747,82.1838,53.71,90,1,4.18
77,Tuatapere,NZ,2022-09-27 18:36:39,-46.1333,167.6833,48.11,91,24,3.53
78,Hithadhoo,MV,2022-09-27 18:36:39,-0.6,73.0833,81.75,74,100,12.28
79,Bredasdorp,ZA,2022-09-27 18:36:39,-34.5322,20.0403,53.91,91,4,3.62
80,Lata,PT,2022-09-27 18:36:40,40.1629,-8.3327,63.91,88,4,4.88
81,Santa Cruz,BO,2022-09-27 18:33:34,-17.8,-63.1667,78.85,89,75,36.82
82,Atuona,PF,2022-09-27 18:36:40,-9.8,-139.0333,77.09,70,0,19.26
83,Chuy,UY,2022-09-27 18:36:41,-33.6971,-53.4616,63.91,64,15,12.73
84,Petropavlovsk-Kamchatskiy,RU,2022-09-27 18:31:53,53.0452,158.6483,41.59,100,75,2.24
85,Tuktoyaktuk,CA,2022-09-27 18:37:42,69.4541,-133.0374,32.0,100,100,23.02
86,Bereda,ES,2022-09-27 18:37:43,43.2686,-7.5406,63.41,80,99,3.22
87,Saint-Pierre,RE,2022-09-27 18:37:43,-21.3393,55.4781,71.28,64,75,11.5
88,Cockburn Town,TC,2022-09-27 18:37:44,21.4612,-71.1419,82.85,77,83,16.37
89,Falavarjan,IR,2022-09-27 18:37:44,32.5553,51.5097,72.61,10,0,6.08
90,Akureyri,IS,2022-09-27 18:37:44,65.6835,-18.0878,42.73,61,75,2.3
91,Jamestown,US,2022-09-27 18:37:45,42.097,-79.2353,55.53,92,100,11.5
92,Cividale Del Friuli,IT,2022-09-27 18:37:45,46.0931,13.4275,57.81,86,79,7.11
93,Alyangula,AU,2022-09-27 18:37:45,-13.8483,136.4192,79.92,84,96,7.36
94,Eyl,SO,2022-09-27 18:37:46,7.9803,49.8164,78.58,79,99,19.1
95,Lompoc,US,2022-09-27 18:34:09,34.6391,-120.4579,61.21,94,100,11.5
96,Richards Bay,ZA,2022-09-27 18:37:46,-28.783,32.0377,70.74,95,0,4.97
97,Sisimiut,GL,2022-09-27 18:37:46,66.9395,-53.6735,42.28,91,98,6.13
98,Wasilla,US,2022-09-27 18:37:47,61.5814,-149.4394,46.06,88,100,4.61
99,Nikolskoye,RU,2022-09-27 18:37:47,59.7035,30.7861,49.91,95,16,4.34
100,Matara,LK,2022-09-27 18:37:48,5.9485,80.5353,78.46,86,100,10.51
101,Gobabis,NA,2022-09-27 18:37:48,-22.45,18.9667,79.97,22,90,8.48
102,Ponta Do Sol,PT,2022-09-27 18:37:49,32.6667,-17.1,73.0,73,100,9.13
103,Shimoda,JP,2022-09-27 18:37:49,34.6667,138.95,68.11,77,15,14.85
104,Narsaq,GL,2022-09-27 18:37:49,60.9167,-46.05,44.82,92,100,3.8
105,Florianopolis,BR,2022-09-27 18:37:50,-27.6146,-48.5012,71.55,55,75,11.5
106,Anchorage,US,2022-09-27 18:37:50,61.2181,-149.9003,47.98,86,40,6.91
107,Chokurdakh,RU,2022-09-27 18:37:50,70.6333,147.9167,22.01,89,100,7.4
108,Poindimie,NC,2022-09-27 18:37:51,-20.9333,165.3333,74.86,81,86,8.08
109,Nadym,RU,2022-09-27 18:37:51,65.5333,72.5167,26.6,85,73,9.82
110,Hilo,US,2022-09-27 18:35:43,19.7297,-155.09,81.28,67,40,4.61
111,Victoria,HK,2022-09-27 18:34:33,22.2855,114.1577,84.38,79,100,13.0
112,Mercedes,AR,2022-09-27 18:37:51,-34.6515,-59.4307,80.78,21,8,13.06
113,Tessalit,ML,2022-09-27 18:37:52,20.1986,1.0114,98.35,11,65,5.82
114,Esperance,AU,2022-09-27 18:37:52,-33.8667,121.9,50.49,84,0,10.11
115,Puerto Ayora,EC,2022-09-27 18:37:52,-0.7393,-90.3518,75.16,87,79,5.99
116,Cidreira,BR,2022-09-27 18:37:53,-30.1811,-50.2056,67.08,69,100,13.78
117,Egvekinot,RU,2022-09-27 18:35:19,66.3167,-179.1667,26.91,81,100,12.1
118,Torit,SS,2022-09-27 18:37:53,4.4133,32.5678,78.3,59,93,3.06
119,Aklavik,CA,2022-09-27 18:37:54,68.2191,-135.0107,32.4,99,100,18.77
120,Port Hedland,AU,2022-09-27 18:37:54,-20.3167,118.5667,62.65,77,77,8.05
121,Ribeira Grande,PT,2022-09-27 18:37:54,38.5167,-28.7,72.0,64,40,17.27
122,Severodvinsk,RU,2022-09-27 18:37:55,64.5635,39.8302,42.91,90,61,7.58
123,Klaksvik,FO,2022-09-27 18:37:55,62.2266,-6.589,47.32,92,72,17.25
124,Alanya,TR,2022-09-27 18:37:55,36.5438,31.9998,75.33,59,2,2.71
125,Fushun,CN,2022-09-27 18:36:16,41.8558,123.9233,58.71,82,0,5.91
126,Barentu,ER,2022-09-27 18:37:56,15.1139,37.5928,80.29,49,6,3.74
127,Svetlogorsk,BY,2022-09-27 18:37:56,52.6333,29.7333,48.31,95,98,6.71
128,Ballina,AU,2022-09-27 18:37:57,-28.8667,153.5667,63.01,96,100,11.05
129,Bogorodskoye,RU,2022-09-27 18:37:57,56.55,37.8833,45.27,78,96,6.31
130,Monroe,US,2022-09-27 18:35:14,43.1501,-77.6831,64.8,76,75,13.8
131,Mahebourg,MU,2022-09-27 18:37:57,-20.4081,57.7,71.89,60,75,10.36
132,Sao Joao Da Barra,BR,2022-09-27 18:38:58,-21.6403,-41.0511,78.89,89,100,13.67
133,Washington,US,2022-09-27 18:35:13,47.5001,-120.5015,80.15,23,0,3.98
134,Hillsboro,US,2022-09-27 18:34:14,45.5229,-122.9898,77.43,64,0,1.01
135,Barrow,US,2022-09-27 18:39:01,71.2906,-156.7887,28.42,86,100,5.75
136,Faanui,PF,2022-09-27 18:39:01,-16.4833,-151.75,77.86,75,2,14.38
137,Northam,GB,2022-09-27 18:39:02,51.0333,-4.2167,54.61,85,100,14.9
138,Kisber,HU,2022-09-27 18:39:02,47.5029,18.0367,53.26,87,100,7.87
139,Dafeng,CN,2022-09-27 18:39:03,23.4517,108.5881,78.89,62,99,4.52
140,Gravdal,NO,2022-09-27 18:39:04,68.1214,13.5031,49.89,62,0,6.91
141,Adrar,MR,2022-09-27 18:39:04,20.5022,-10.0711,100.49,14,92,7.31
142,Saldanha,ZA,2022-09-27 18:39:05,-33.0117,17.9442,55.45,87,1,6.89
143,Belaya Gora,RU,2022-09-27 18:39:05,68.5333,146.4167,26.92,90,100,10.74
144,Jian,CN,2022-09-27 18:39:06,27.1172,114.9793,73.49,68,0,3.47
145,Tilichiki,RU,2022-09-27 18:39:06,60.4667,166.1,31.21,79,100,4.54
146,Cascavel,BR,2022-09-27 18:39:06,-24.9558,-53.4553,64.0,88,100,5.75
147,Pangnirtung,CA,2022-09-27 18:39:07,66.1451,-65.7125,39.2,65,40,6.51
148,Torbay,CA,2022-09-27 18:35:45,47.6666,-52.7314,74.88,81,75,18.41
149,Antalaha,MG,2022-09-27 18:39:07,-14.9003,50.2788,66.18,86,11,7.87
